"species","dataSource","countryCode","stateProvince","year","individualCount","coordinateUncertaintyInMeters","taxonRank","gbifID","ID","decimalLongitude","decimalLatitude"
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4842,-68.2217,46.8056
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2263,-67.8529,46.7275
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2167,-69.3016,47.0093
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4567,-69.2495,47
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2581,-68.9717,46.9445
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4452,-68.871,46.9236
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4949,-68.8149,46.9184
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2198,-68.805,46.9167
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4798,-68.4223,46.8369
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4875,-68.2773,46.8056
"Picea rubens","Hybrid Index Database","NA",NA,"NA","NA","NA","SPECIES",NA,5642,-67.6,46.66
"Picea rubens","GBIF","CAN",NA,"1981","NA","NA","SPECIES",1248732419,55,-69.6706,47.0733
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2218,-69.3974,47.0188
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,5002,-68.9739,46.9418
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4407,-68.8606,46.9167
